"","year","state","CVE_GEO","age_group","ferty_rate","births"
"3025",1983,"04",4,"15-19",134.94,3480
"3026",1983,"04",4,"20-24",252.67,5410
"3027",1983,"04",4,"25-29",185.45,3241
"3028",1983,"04",4,"30-34",133.13,1850
"3029",1983,"04",4,"35-39",92.29,1028
"3030",1983,"04",4,"40-44",46.78,421
"3031",1983,"04",4,"45-49",12.63,92
"3032",1983,"07",7,"15-19",149.98,20798
"3033",1983,"07",7,"20-24",233.69,26524
"3034",1983,"07",7,"25-29",257.63,23203
"3035",1983,"07",7,"30-34",194.6,13580
"3036",1983,"07",7,"35-39",147.52,8183
"3037",1983,"07",7,"40-44",56.45,2520
"3038",1983,"07",7,"45-49",6.2,221
"3039",1983,"08",8,"15-19",104.5,13194
"3040",1983,"08",8,"20-24",199.91,20846
"3041",1983,"08",8,"25-29",188.15,15521
"3042",1983,"08",8,"30-34",136.34,8845
"3043",1983,"08",8,"35-39",90.17,4825
"3044",1983,"08",8,"40-44",31.85,1451
"3045",1983,"08",8,"45-49",2.88,112
"3046",1983,"09",9,"15-19",70.82,36368
"3047",1983,"09",9,"20-24",174.5,81642
"3048",1983,"09",9,"25-29",167.4,66164
"3049",1983,"09",9,"30-34",124.6,38781
"3050",1983,"09",9,"35-39",75.56,18550
"3051",1983,"09",9,"40-44",25.89,5204
"3052",1983,"09",9,"45-49",12.12,2075
"3053",1983,"05",5,"15-19",104.56,10177
"3054",1983,"05",5,"20-24",207.68,16637
"3055",1983,"05",5,"25-29",191.58,12271
"3056",1983,"05",5,"30-34",136.51,6915
"3057",1983,"05",5,"35-39",80.34,3324
"3058",1983,"05",5,"40-44",21.25,737
"3059",1983,"05",5,"45-49",2.7,79
"3060",1983,"06",6,"15-19",98.92,2150
"3061",1983,"06",6,"20-24",202.57,3584
"3062",1983,"06",6,"25-29",224.82,3140
"3063",1983,"06",6,"30-34",145.63,1589
"3064",1983,"06",6,"35-39",103.2,907
"3065",1983,"06",6,"40-44",41.05,296
"3066",1983,"06",6,"45-49",11.24,67
"3067",1983,"10",10,"15-19",114.42,8174
"3068",1983,"10",10,"20-24",260.54,14455
"3069",1983,"10",10,"25-29",224.13,9541
"3070",1983,"10",10,"30-34",165.09,5524
"3071",1983,"10",10,"35-39",119.58,3341
"3072",1983,"10",10,"40-44",52.75,1274
"3073",1983,"10",10,"45-49",9.12,190
"3074",1983,"11",11,"15-19",100.25,19370
"3075",1983,"11",11,"20-24",232.9,35888
"3076",1983,"11",11,"25-29",239.89,28689
"3077",1983,"11",11,"30-34",181.65,16798
"3078",1983,"11",11,"35-39",141.05,10543
"3079",1983,"11",11,"40-44",60.41,3790
"3080",1983,"11",11,"45-49",13.98,748
"3081",1983,"12",12,"15-19",143.31,18295
"3082",1983,"12",12,"20-24",276.93,27898
"3083",1983,"12",12,"25-29",268.86,21394
"3084",1983,"12",12,"30-34",202.36,12981
"3085",1983,"12",12,"35-39",142.22,7689
"3086",1983,"12",12,"40-44",49.66,2285
"3087",1983,"12",12,"45-49",14.19,546
"3088",1983,"13",13,"15-19",109.23,9925
"3089",1983,"13",13,"20-24",268.15,19580
"3090",1983,"13",13,"25-29",252.34,14806
"3091",1983,"13",13,"30-34",181.32,8540
"3092",1983,"13",13,"35-39",117.31,4563
"3093",1983,"13",13,"40-44",33.42,1093
"3094",1983,"13",13,"45-49",7.92,219
"3095",1983,"14",14,"15-19",90.18,24471
"3096",1983,"14",14,"20-24",231.14,51203
"3097",1983,"14",14,"25-29",248.96,43795
"3098",1983,"14",14,"30-34",205.59,28456
"3099",1983,"14",14,"35-39",136.24,15292
"3100",1983,"14",14,"40-44",53.81,5023
"3101",1983,"14",14,"45-49",8.23,651
"3102",1983,"15",15,"15-19",94.5,45870
"3103",1983,"15",15,"20-24",220.26,89268
"3104",1983,"15",15,"25-29",212.44,69842
"3105",1983,"15",15,"30-34",156.62,40480
"3106",1983,"15",15,"35-39",95.73,19572
"3107",1983,"15",15,"40-44",28.12,4583
"3108",1983,"15",15,"45-49",1.4,183
"3109",1983,"16",16,"15-19",116.29,21085
"3110",1983,"16",16,"20-24",236.41,33675
"3111",1983,"16",16,"25-29",268.62,29278
"3112",1983,"16",16,"30-34",205.1,17365
"3113",1983,"16",16,"35-39",158.14,11063
"3114",1983,"16",16,"40-44",64.19,3854
"3115",1983,"16",16,"45-49",4.48,232
"3116",1983,"17",17,"15-19",94.23,5596
"3117",1983,"17",17,"20-24",217.51,10617
"3118",1983,"17",17,"25-29",187.31,7289
"3119",1983,"17",17,"30-34",141.01,4334
"3120",1983,"17",17,"35-39",100.69,2544
"3121",1983,"17",17,"40-44",47.55,1020
"3122",1983,"17",17,"45-49",16.23,298
"3123",1983,"18",18,"15-19",124.07,5308
"3124",1983,"18",18,"20-24",240.16,8019
"3125",1983,"18",18,"25-29",207.88,5389
"3126",1983,"18",18,"30-34",161.74,3331
"3127",1983,"18",18,"35-39",120.77,2076
"3128",1983,"18",18,"40-44",38.23,561
"3129",1983,"18",18,"45-49",21.2,266
"3130",1983,"19",19,"15-19",73.81,11577
"3131",1983,"19",19,"20-24",179.97,23790
"3132",1983,"19",19,"25-29",178.26,19031
"3133",1983,"19",19,"30-34",130.8,11009
"3134",1983,"19",19,"35-39",77.64,5293
"3135",1983,"19",19,"40-44",21.93,1241
"3136",1983,"19",19,"45-49",7.43,352
"3137",1983,"20",20,"15-19",148.89,20642
"3138",1983,"20",20,"20-24",285.54,31687
"3139",1983,"20",20,"25-29",251.72,22541
"3140",1983,"20",20,"30-34",195.29,14326
"3141",1983,"20",20,"35-39",147.36,9226
"3142",1983,"20",20,"40-44",62.99,3425
"3143",1983,"20",20,"45-49",9.44,444
"3144",1983,"21",21,"15-19",128.27,25648
"3145",1983,"21",21,"20-24",276.5,44674
"3146",1983,"21",21,"25-29",257.41,33197
"3147",1983,"21",21,"30-34",196.66,20203
"3148",1983,"21",21,"35-39",143.7,12237
"3149",1983,"21",21,"40-44",60.11,4374
"3150",1983,"21",21,"45-49",17.8,1117
"3151",1983,"22",22,"15-19",102.34,4899
"3152",1983,"22",22,"20-24",251.76,9692
"3153",1983,"22",22,"25-29",249.83,7518
"3154",1983,"22",22,"30-34",193.98,4485
"3155",1983,"22",22,"35-39",154.43,2833
"3156",1983,"22",22,"40-44",67.84,1021
"3157",1983,"22",22,"45-49",7,88
"3158",1983,"23",23,"15-19",139.38,2420
"3159",1983,"23",23,"20-24",203.57,3049
"3160",1983,"23",23,"25-29",178.05,2169
"3161",1983,"23",23,"30-34",129.48,1186
"3162",1983,"23",23,"35-39",91.03,614
"3163",1983,"23",23,"40-44",30.97,155
"3164",1983,"23",23,"45-49",8.2,31
"3165",1983,"33",0,"15-19",102.41,421278
"3166",1983,"33",0,"20-24",221.83,754871
"3167",1983,"33",0,"25-29",215.7,589210
"3168",1983,"33",0,"30-34",163.17,351707
"3169",1983,"33",0,"35-39",111.11,194494
"3170",1983,"33",0,"40-44",41.39,60363
"3171",1983,"33",0,"45-49",9.04,11101
"3172",1983,"24",24,"15-19",108.04,10680
"3173",1983,"24",24,"20-24",262.61,20506
"3174",1983,"24",24,"25-29",250.44,15315
"3175",1983,"24",24,"30-34",204.76,9964
"3176",1983,"24",24,"35-39",157.4,6434
"3177",1983,"24",24,"40-44",63.51,2255
"3178",1983,"24",24,"45-49",13.23,409
"3179",1983,"25",25,"15-19",83.39,9475
"3180",1983,"25",25,"20-24",210.19,19162
"3181",1983,"25",25,"25-29",206.99,14839
"3182",1983,"25",25,"30-34",153.06,8604
"3183",1983,"25",25,"35-39",94.77,4313
"3184",1983,"25",25,"40-44",27.1,1017
"3185",1983,"25",25,"45-49",6.4,199
"3186",1983,"26",26,"15-19",98.46,9079
"3187",1983,"26",26,"20-24",200.02,15439
"3188",1983,"26",26,"25-29",197.18,12280
"3189",1983,"26",26,"30-34",129.73,6357
"3190",1983,"26",26,"35-39",78.04,3090
"3191",1983,"26",26,"40-44",23.77,783
"3192",1983,"26",26,"45-49",3.86,107
"3193",1983,"27",27,"15-19",131.63,9276
"3194",1983,"27",27,"20-24",232.44,13292
"3195",1983,"27",27,"25-29",204.37,9151
"3196",1983,"27",27,"30-34",160.35,5474
"3197",1983,"27",27,"35-39",101.33,2712
"3198",1983,"27",27,"40-44",51.17,1098
"3199",1983,"27",27,"45-49",4.48,77
"3200",1983,"28",28,"15-19",88.72,10421
"3201",1983,"28",28,"20-24",209,20471
"3202",1983,"28",28,"25-29",175.4,13786
"3203",1983,"28",28,"30-34",128.71,8030
"3204",1983,"28",28,"35-39",82.3,4247
"3205",1983,"28",28,"40-44",33.29,1466
"3206",1983,"28",28,"45-49",5.43,205
"3207",1983,"29",29,"15-19",121.01,4238
"3208",1983,"29",29,"20-24",218.39,6084
"3209",1983,"29",29,"25-29",240.23,5198
"3210",1983,"29",29,"30-34",176.3,2964
"3211",1983,"29",29,"35-39",130.38,1795
"3212",1983,"29",29,"40-44",61.73,727
"3213",1983,"29",29,"45-49",25.16,258
"3214",1983,"30",30,"15-19",112.72,36080
"3215",1983,"30",30,"20-24",211.68,55942
"3216",1983,"30",30,"25-29",206.1,44128
"3217",1983,"30",30,"30-34",158.84,27393
"3218",1983,"30",30,"35-39",111.19,15940
"3219",1983,"30",30,"40-44",40.78,4938
"3220",1983,"30",30,"45-49",14.06,1431
"3221",1983,"31",31,"15-19",99.12,6221
"3222",1983,"31",31,"20-24",227.6,11924
"3223",1983,"31",31,"25-29",235.84,10137
"3224",1983,"31",31,"30-34",178.29,6235
"3225",1983,"31",31,"35-39",97.38,2837
"3226",1983,"31",31,"40-44",29.96,739
"3227",1983,"31",31,"45-49",2.46,52
"3228",1983,"32",32,"15-19",97.03,6725
"3229",1983,"32",32,"20-24",246.92,12889
"3230",1983,"32",32,"25-29",277.78,10760
"3231",1983,"32",32,"30-34",232.52,6990
"3232",1983,"32",32,"35-39",162.43,4110
"3233",1983,"32",32,"40-44",69.38,1536
"3234",1983,"32",32,"45-49",10.39,201
"3235",1984,"01",1,"15-19",81.26,2890
"3236",1984,"01",1,"20-24",232.54,6737
"3237",1984,"01",1,"25-29",213.55,4905
"3238",1984,"01",1,"30-34",171.1,3040
"3239",1984,"01",1,"35-39",143.15,2011
"3240",1984,"01",1,"40-44",55.79,639
"3241",1984,"01",1,"45-49",5.75,55
"3242",1984,"02",2,"15-19",72.44,5934
"3243",1984,"02",2,"20-24",175.26,12382
"3244",1984,"02",2,"25-29",161.03,9306
"3245",1984,"02",2,"30-34",115.45,5201
"3246",1984,"02",2,"35-39",76.75,2732
"3247",1984,"02",2,"40-44",24.25,704
"3248",1984,"02",2,"45-49",3.97,96
"3249",1984,"03",3,"15-19",84.29,1239
"3250",1984,"03",3,"20-24",197.25,2479
"3251",1984,"03",3,"25-29",177.22,1839
"3252",1984,"03",3,"30-34",127.68,1031
"3253",1984,"03",3,"35-39",79.64,496
"3254",1984,"03",3,"40-44",25.97,127
"3255",1984,"03",3,"45-49",0.77,3
"3256",1984,"04",4,"15-19",132.01,3514
"3257",1984,"04",4,"20-24",250.84,5557
"3258",1984,"04",4,"25-29",181.8,3315
"3259",1984,"04",4,"30-34",130.88,1900
"3260",1984,"04",4,"35-39",88.7,1027
"3261",1984,"04",4,"40-44",42.41,395
"3262",1984,"04",4,"45-49",12.09,91
"3263",1984,"07",7,"15-19",144.91,21186
"3264",1984,"07",7,"20-24",235.96,28224
"3265",1984,"07",7,"25-29",250.02,23911
"3266",1984,"07",7,"30-34",188.29,13965
"3267",1984,"07",7,"35-39",139.46,8180
"3268",1984,"07",7,"40-44",54.2,2549
"3269",1984,"07",7,"45-49",6.59,247
"3270",1984,"08",8,"15-19",100.07,12957
"3271",1984,"08",8,"20-24",195.62,21072
"3272",1984,"08",8,"25-29",182.79,15757
"3273",1984,"08",8,"30-34",132.93,9009
"3274",1984,"08",8,"35-39",86.62,4802
"3275",1984,"08",8,"40-44",29.53,1386
"3276",1984,"08",8,"45-49",3.35,134
"3277",1984,"09",9,"15-19",67.14,34464
"3278",1984,"09",9,"20-24",165.72,77650
"3279",1984,"09",9,"25-29",163.78,65419
"3280",1984,"09",9,"30-34",119.21,37641
"3281",1984,"09",9,"35-39",70.41,17502
"3282",1984,"09",9,"40-44",22.99,4663
"3283",1984,"09",9,"45-49",11.67,2008
"3284",1984,"05",5,"15-19",100.68,10129
"3285",1984,"05",5,"20-24",203.56,16932
"3286",1984,"05",5,"25-29",188.2,12646
"3287",1984,"05",5,"30-34",131.24,6980
"3288",1984,"05",5,"35-39",77.01,3324
"3289",1984,"05",5,"40-44",20.45,736
"3290",1984,"05",5,"45-49",2.84,86
"3291",1984,"06",6,"15-19",95.37,2132
"3292",1984,"06",6,"20-24",197.23,3605
"3293",1984,"06",6,"25-29",212.63,3104
"3294",1984,"06",6,"30-34",139.62,1597
"3295",1984,"06",6,"35-39",96.01,880
"3296",1984,"06",6,"40-44",37.67,282
"3297",1984,"06",6,"45-49",11.18,69
"3298",1984,"10",10,"15-19",111.02,8095
"3299",1984,"10",10,"20-24",252.03,14355
"3300",1984,"10",10,"25-29",217.76,9633
"3301",1984,"10",10,"30-34",161.79,5631
"3302",1984,"10",10,"35-39",115.98,3345
"3303",1984,"10",10,"40-44",49.75,1233
"3304",1984,"10",10,"45-49",9.22,197
"3305",1984,"11",11,"15-19",92.42,18580
"3306",1984,"11",11,"20-24",227.71,36629
"3307",1984,"11",11,"25-29",233.99,29497
"3308",1984,"11",11,"30-34",177.36,17308
"3309",1984,"11",11,"35-39",134.89,10570
"3310",1984,"11",11,"40-44",56.12,3668
"3311",1984,"11",11,"45-49",13.91,772
"3312",1984,"12",12,"15-19",137.86,18141
"3313",1984,"12",12,"20-24",268.04,27905
"3314",1984,"12",12,"25-29",259.76,21569
"3315",1984,"12",12,"30-34",198.76,13309
"3316",1984,"12",12,"35-39",138.85,7781
"3317",1984,"12",12,"40-44",47.31,2246
"3318",1984,"12",12,"45-49",14.18,563
"3319",1984,"13",13,"15-19",105.96,9914
"3320",1984,"13",13,"20-24",256.03,19345
"3321",1984,"13",13,"25-29",241.3,14821
"3322",1984,"13",13,"30-34",173.02,8543
"3323",1984,"13",13,"35-39",109.69,4444
"3324",1984,"13",13,"40-44",31.49,1067
"3325",1984,"13",13,"45-49",7.92,226
"3326",1984,"14",14,"15-19",86.69,24182
"3327",1984,"14",14,"20-24",226.65,51768
"3328",1984,"14",14,"25-29",243.34,44572
"3329",1984,"14",14,"30-34",196,28319
"3330",1984,"14",14,"35-39",129.78,15148
"3331",1984,"14",14,"40-44",51.31,4960
"3332",1984,"14",14,"45-49",8.05,657
"3333",1984,"15",15,"15-19",92.58,46651
"3334",1984,"15",15,"20-24",213.99,90444
"3335",1984,"15",15,"25-29",206.48,71445
"3336",1984,"15",15,"30-34",149.76,40747
"3337",1984,"15",15,"35-39",91.42,19552
"3338",1984,"15",15,"40-44",26.79,4546
"3339",1984,"15",15,"45-49",1.47,199
"3340",1984,"16",16,"15-19",109.85,20511
"3341",1984,"16",16,"20-24",234.52,34497
"3342",1984,"16",16,"25-29",259.34,29503
"3343",1984,"16",16,"30-34",198.07,17537
"3344",1984,"16",16,"35-39",151.55,11015
"3345",1984,"16",16,"40-44",62.37,3868
"3346",1984,"16",16,"45-49",4.7,251
"3347",1984,"17",17,"15-19",91.77,5625
"3348",1984,"17",17,"20-24",209.89,10610
"3349",1984,"17",17,"25-29",183.46,7478
"3350",1984,"17",17,"30-34",134.15,4331
"3351",1984,"17",17,"35-39",94.15,2482
"3352",1984,"17",17,"40-44",43.1,958
"3353",1984,"17",17,"45-49",15.97,303
"3354",1984,"18",18,"15-19",117.42,5119
"3355",1984,"18",18,"20-24",236.88,8095
"3356",1984,"18",18,"25-29",203.09,5458
"3357",1984,"18",18,"30-34",154.89,3319
"3358",1984,"18",18,"35-39",112.14,1995
"3359",1984,"18",18,"40-44",35.99,544
"3360",1984,"18",18,"45-49",21.25,274
"3361",1984,"19",19,"15-19",68.38,11065
"3362",1984,"19",19,"20-24",174.33,23881
"3363",1984,"19",19,"25-29",177.46,19812
"3364",1984,"19",19,"30-34",124.66,10978
"3365",1984,"19",19,"35-39",71.04,5039
"3366",1984,"19",19,"40-44",20.1,1179
"3367",1984,"19",19,"45-49",6.67,327
"3368",1984,"20",20,"15-19",144.04,20610
"3369",1984,"20",20,"20-24",274.78,31532
"3370",1984,"20",20,"25-29",245.23,22924
"3371",1984,"20",20,"30-34",191.69,14678
"3372",1984,"20",20,"35-39",141.44,9180
"3373",1984,"20",20,"40-44",58.76,3299
"3374",1984,"20",20,"45-49",9.39,456
"3375",1984,"21",21,"15-19",124.08,25591
"3376",1984,"21",21,"20-24",267.77,44711
"3377",1984,"21",21,"25-29",251.27,33802
"3378",1984,"21",21,"30-34",193.12,20717
"3379",1984,"21",21,"35-39",137.71,12166
"3380",1984,"21",21,"40-44",55.29,4149
"3381",1984,"21",21,"45-49",17.43,1125
"3382",1984,"22",22,"15-19",97.8,4917
"3383",1984,"22",22,"20-24",246.33,10006
"3384",1984,"22",22,"25-29",244.96,7859
"3385",1984,"22",22,"30-34",187.04,4614
"3386",1984,"22",22,"35-39",146.15,2839
"3387",1984,"22",22,"40-44",63.16,999
"3388",1984,"22",22,"45-49",7.23,95
"3389",1984,"23",23,"15-19",133.13,2547
"3390",1984,"23",23,"20-24",205.18,3401
"3391",1984,"23",23,"25-29",174.22,2367
"3392",1984,"23",23,"30-34",125.66,1283
"3393",1984,"23",23,"35-39",85.93,642
"3394",1984,"23",23,"40-44",29.43,162
"3395",1984,"23",23,"45-49",7.98,33
"3396",1984,"33",0,"15-19",98.47,416587
"3397",1984,"33",0,"20-24",215.7,757302
"3398",1984,"33",0,"25-29",210.26,598296
"3399",1984,"33",0,"30-34",157.68,354520
"3400",1984,"33",0,"35-39",105.75,191985
"3401",1984,"33",0,"40-44",38.74,58308
"3402",1984,"33",0,"45-49",8.86,11194
"3403",1984,"24",24,"15-19",103.52,10508
"3404",1984,"24",24,"20-24",255.44,20583
"3405",1984,"24",24,"25-29",241.81,15427
"3406",1984,"24",24,"30-34",197.57,10030
"3407",1984,"24",24,"35-39",149.8,6337
"3408",1984,"24",24,"40-44",60.04,2193
"3409",1984,"24",24,"45-49",12.95,411
"3410",1984,"25",25,"15-19",81.04,9454
"3411",1984,"25",25,"20-24",204.79,19235
"3412",1984,"25",25,"25-29",202.31,15107
"3413",1984,"25",25,"30-34",146,8576
"3414",1984,"25",25,"35-39",89.79,4251
"3415",1984,"25",25,"40-44",26.1,1015
"3416",1984,"25",25,"45-49",6.59,212
"3417",1984,"26",26,"15-19",94.01,8891
"3418",1984,"26",26,"20-24",195.37,15545
"3419",1984,"26",26,"25-29",191.27,12429
"3420",1984,"26",26,"30-34",124.55,6386
"3421",1984,"26",26,"35-39",73.8,3038
"3422",1984,"26",26,"40-44",22.65,771
"3423",1984,"26",26,"45-49",3.75,107
"3424",1984,"27",27,"15-19",126.08,9288
"3425",1984,"27",27,"20-24",224.84,13484
"3426",1984,"27",27,"25-29",199.77,9484
"3427",1984,"27",27,"30-34",155.58,5645
"3428",1984,"27",27,"35-39",96.06,2714
"3429",1984,"27",27,"40-44",47.02,1058
"3430",1984,"27",27,"45-49",4.45,80
"3431",1984,"28",28,"15-19",84.5,10166
"3432",1984,"28",28,"20-24",200.18,20189
"3433",1984,"28",28,"25-29",171.88,14050
"3434",1984,"28",28,"30-34",124.16,8052
"3435",1984,"28",28,"35-39",78.94,4200
"3436",1984,"28",28,"40-44",30.86,1393
"3437",1984,"28",28,"45-49",5.13,198
"3438",1984,"29",29,"15-19",115.81,4234
"3439",1984,"29",29,"20-24",215.38,6298
"3440",1984,"29",29,"25-29",234.35,5389
"3441",1984,"29",29,"30-34",170.09,3041
"3442",1984,"29",29,"35-39",122.32,1772
"3443",1984,"29",29,"40-44",57.05,700
"3444",1984,"29",29,"45-49",24.66,262
"3445",1984,"30",30,"15-19",107.76,35244
"3446",1984,"30",30,"20-24",204.08,55313
"3447",1984,"30",30,"25-29",200.48,44453
"3448",1984,"30",30,"30-34",155.7,27828
"3449",1984,"30",30,"35-39",104.83,15479
"3450",1984,"30",30,"40-44",36.46,4525
"3451",1984,"30",30,"45-49",13.34,1389
"3452",1984,"31",31,"15-19",96.1,6232
"3453",1984,"31",31,"20-24",224.11,12137
"3454",1984,"31",31,"25-29",226.78,10164
"3455",1984,"31",31,"30-34",172.36,6302
"3456",1984,"31",31,"35-39",97.77,2968
"3457",1984,"31",31,"40-44",30.83,789
"3458",1984,"31",31,"45-49",2.61,57
"3459",1984,"32",32,"15-19",93.03,6577
"3460",1984,"32",32,"20-24",237.06,12701
"3461",1984,"32",32,"25-29",269.71,10851
"3462",1984,"32",32,"30-34",223.71,6982
"3463",1984,"32",32,"35-39",156.37,4074
"3464",1984,"32",32,"40-44",66.33,1505
"3465",1984,"32",32,"45-49",10.64,211
"3466",1985,"01",1,"15-19",78.46,2912
"3467",1985,"01",1,"20-24",224.88,6818
"3468",1985,"01",1,"25-29",208.89,5075
"3469",1985,"01",1,"30-34",163.63,3090
"3470",1985,"01",1,"35-39",132.71,1968
"3471",1985,"01",1,"40-44",53.19,639
"3472",1985,"01",1,"45-49",5.91,59
"3473",1985,"02",2,"15-19",74.63,6367
"3474",1985,"02",2,"20-24",172.35,12740
"3475",1985,"02",2,"25-29",155.94,9524
"3476",1985,"02",2,"30-34",110.82,5292
"3477",1985,"02",2,"35-39",71.49,2672
"3478",1985,"02",2,"40-44",23.28,704
"3479",1985,"02",2,"45-49",3.71,93
"3480",1985,"03",3,"15-19",83.16,1282
"3481",1985,"03",3,"20-24",191.99,2542
"3482",1985,"03",3,"25-29",172.36,1907
"3483",1985,"03",3,"30-34",122.42,1060
"3484",1985,"03",3,"35-39",76,504
"3485",1985,"03",3,"40-44",24.91,129
"3486",1985,"03",3,"45-49",0.73,3
"3487",1985,"04",4,"15-19",129.85,3566
"3488",1985,"04",4,"20-24",248.62,5689
"3489",1985,"04",4,"25-29",178.59,3392
"3490",1985,"04",4,"30-34",128.96,1958
"3491",1985,"04",4,"35-39",85.16,1025
"3492",1985,"04",4,"40-44",38.38,370
"3493",1985,"04",4,"45-49",11.56,90
"3494",1985,"07",7,"15-19",140.59,21649
"3495",1985,"07",7,"20-24",237.89,29917
"3496",1985,"07",7,"25-29",242.9,24615
"3497",1985,"07",7,"30-34",182.35,14389
"3498",1985,"07",7,"35-39",131.41,8148
"3499",1985,"07",7,"40-44",52.3,2591
"3500",1985,"07",7,"45-49",6.94,274
"3501",1985,"08",8,"15-19",96.17,12764
"3502",1985,"08",8,"20-24",191.07,21221
"3503",1985,"08",8,"25-29",177.85,15993
"3504",1985,"08",8,"30-34",129.84,9205
"3505",1985,"08",8,"35-39",83.1,4773
"3506",1985,"08",8,"40-44",27.37,1324
"3507",1985,"08",8,"45-49",3.77,155
"3508",1985,"09",9,"15-19",63.84,32718
"3509",1985,"09",9,"20-24",156.73,73347
"3510",1985,"09",9,"25-29",160.57,64645
"3511",1985,"09",9,"30-34",114.16,36585
"3512",1985,"09",9,"35-39",65.33,16435
"3513",1985,"09",9,"40-44",20.22,4137
"3514",1985,"09",9,"45-49",11.01,1905
"3515",1985,"05",5,"15-19",97.35,10117
"3516",1985,"05",5,"20-24",199.15,17168
"3517",1985,"05",5,"25-29",185.25,13036
"3518",1985,"05",5,"30-34",126.29,7062
"3519",1985,"05",5,"35-39",73.72,3320
"3520",1985,"05",5,"40-44",19.77,739
"3521",1985,"05",5,"45-49",2.96,93
"3522",1985,"06",6,"15-19",92.33,2122
"3523",1985,"06",6,"20-24",191.51,3609
"3524",1985,"06",6,"25-29",201.04,3062
"3525",1985,"06",6,"30-34",133.91,1608
"3526",1985,"06",6,"35-39",89,851
"3527",1985,"06",6,"40-44",34.47,268
"3528",1985,"06",6,"45-49",10.95,70
"3529",1985,"10",10,"15-19",108.24,8052
"3530",1985,"10",10,"20-24",243.21,14194
"3531",1985,"10",10,"25-29",211.91,9724
"3532",1985,"10",10,"30-34",158.86,5759
"3533",1985,"10",10,"35-39",112.52,3350
"3534",1985,"10",10,"40-44",46.99,1196
"3535",1985,"10",10,"45-49",9.16,201
"3536",1985,"11",11,"15-19",85.06,17784
"3537",1985,"11",11,"20-24",222.26,37247
"3538",1985,"11",11,"25-29",228.65,30326
"3539",1985,"11",11,"30-34",173.5,17889
"3540",1985,"11",11,"35-39",128.81,10582
"3541",1985,"11",11,"40-44",52.18,3554
"3542",1985,"11",11,"45-49",13.65,787
"3543",1985,"12",12,"15-19",133.15,18053
"3544",1985,"12",12,"20-24",258.75,27786
"3545",1985,"12",12,"25-29",251.22,21730
"3546",1985,"12",12,"30-34",195.63,13692
"3547",1985,"12",12,"35-39",135.6,7877
"3548",1985,"12",12,"40-44",45.28,2219
"3549",1985,"12",12,"45-49",13.95,572
"3550",1985,"13",13,"15-19",103.28,9946
"3551",1985,"13",13,"20-24",243.55,19007
"3552",1985,"13",13,"25-29",230.84,14816
"3553",1985,"13",13,"30-34",165.14,8560
"3554",1985,"13",13,"35-39",102.1,4309
"3555",1985,"13",13,"40-44",29.73,1044
"3556",1985,"13",13,"45-49",7.9,233
"3557",1985,"14",14,"15-19",83.68,23984
"3558",1985,"14",14,"20-24",221.86,52153
"3559",1985,"14",14,"25-29",238.28,45367
"3560",1985,"14",14,"30-34",186.89,28227
"3561",1985,"14",14,"35-39",123.36,14977
"3562",1985,"14",14,"40-44",49.12,4920
"3563",1985,"14",14,"45-49",7.77,654
"3564",1985,"15",15,"15-19",91.2,47674
"3565",1985,"15",15,"20-24",207.43,91250
"3566",1985,"15",15,"25-29",200.98,73057
"3567",1985,"15",15,"30-34",143.27,41087
"3568",1985,"15",15,"35-39",87.17,19503
"3569",1985,"15",15,"40-44",25.64,4531
"3570",1985,"15",15,"45-49",1.52,214
"3571",1985,"16",16,"15-19",103.99,19984
"3572",1985,"16",16,"20-24",232.32,35223
"3573",1985,"16",16,"25-29",250.61,29705
"3574",1985,"16",16,"30-34",191.5,17755
"3575",1985,"16",16,"35-39",145.02,10953
"3576",1985,"16",16,"40-44",60.98,3908
"3577",1985,"16",16,"45-49",4.86,268
"3578",1985,"17",17,"15-19",89.84,5680
"3579",1985,"17",17,"20-24",202.02,10557
"3580",1985,"17",17,"25-29",180.06,7674
"3581",1985,"17",17,"30-34",127.64,4334
"3582",1985,"17",17,"35-39",87.71,2413
"3583",1985,"17",17,"40-44",38.88,896
"3584",1985,"17",17,"45-49",15.48,304
"3585",1985,"18",18,"15-19",111.43,4947
"3586",1985,"18",18,"20-24",233.29,8144
"3587",1985,"18",18,"25-29",198.81,5529
"3588",1985,"18",18,"30-34",148.4,3313
"3589",1985,"18",18,"35-39",103.5,1906
"3590",1985,"18",18,"40-44",33.96,529
"3591",1985,"18",18,"45-49",20.94,278
"3592",1985,"19",19,"15-19",63.32,10566
"3593",1985,"19",19,"20-24",168.51,23876
"3594",1985,"19",19,"25-29",177.09,20639
"3595",1985,"19",19,"30-34",118.87,10967
"3596",1985,"19",19,"35-39",64.48,4759
"3597",1985,"19",19,"40-44",18.38,1118
"3598",1985,"19",19,"45-49",5.75,292
"3599",1985,"20",20,"15-19",139.97,20660
"3600",1985,"20",20,"20-24",263.59,31220
"3601",1985,"20",20,"25-29",239.3,23312
"3602",1985,"20",20,"30-34",188.52,15090
"3603",1985,"20",20,"35-39",135.58,9124
"3604",1985,"20",20,"40-44",54.87,3182
"3605",1985,"20",20,"45-49",9.18,461
"3606",1985,"21",21,"15-19",120.62,25645
"3607",1985,"21",21,"20-24",258.7,44558
"3608",1985,"21",21,"25-29",245.71,34419
"3609",1985,"21",21,"30-34",190.05,21319
"3610",1985,"21",21,"35-39",131.78,12080
"3611",1985,"21",21,"40-44",50.77,3931
