"","year","state","CVE_GEO","age_group","ferty_rate","births"
"122",1970,"18",18,"25-29",310.88,5242
"123",1970,"18",18,"30-34",269.6,3814
"124",1970,"18",18,"35-39",216.89,2682
"125",1970,"18",18,"40-44",63.47,686
"126",1970,"18",18,"45-49",16.88,158
"127",1970,"19",19,"15-19",109.2,9866
"128",1970,"19",19,"20-24",274.41,20038
"129",1970,"19",19,"25-29",292.59,17756
"130",1970,"19",19,"30-34",241.73,12277
"131",1970,"19",19,"35-39",160.23,6854
"132",1970,"19",19,"40-44",43.97,1579
"133",1970,"19",19,"45-49",8.66,261
"134",1970,"20",20,"15-19",185.64,19131
"135",1970,"20",20,"20-24",369.38,29927
"136",1970,"20",20,"25-29",355.64,24331
"137",1970,"20",20,"30-34",299.9,17864
"138",1970,"20",20,"35-39",242.42,12557
"139",1970,"20",20,"40-44",92.85,4066
"140",1970,"20",20,"45-49",9.74,356
"141",1970,"21",21,"15-19",157.44,20462
"142",1970,"21",21,"20-24",358.05,36329
"143",1970,"21",21,"25-29",366.92,30801
"144",1970,"21",21,"30-34",304.02,22055
"145",1970,"21",21,"35-39",239.14,15275
"146",1970,"21",21,"40-44",90.75,4989
"147",1970,"21",21,"45-49",14.92,689
"148",1970,"22",22,"15-19",123.72,3140
"149",1970,"22",22,"20-24",324.3,6262
"150",1970,"22",22,"25-29",359.37,5577
"151",1970,"22",22,"30-34",307.83,4003
"152",1970,"22",22,"35-39",258.29,2889
"153",1970,"22",22,"40-44",99.83,953
"154",1970,"22",22,"45-49",8.07,65
"155",1970,"23",23,"15-19",205.84,1001
"156",1970,"23",23,"20-24",280.1,1070
"157",1970,"23",23,"25-29",280.34,864
"158",1970,"23",23,"30-34",225.12,561
"159",1970,"23",23,"35-39",173.25,351
"160",1970,"23",23,"40-44",54.32,88
"161",1970,"23",23,"45-49",8.63,11
"162",1970,"33",0,"15-19",134.67,348999
"163",1970,"33",0,"20-24",306.67,624579
"164",1970,"33",0,"25-29",330.82,549937
"165",1970,"33",0,"30-34",273.84,382096
"166",1970,"33",0,"35-39",200.66,239706
"167",1970,"33",0,"40-44",68.43,69162
"168",1970,"33",0,"45-49",9.64,8106
"169",1970,"24",24,"15-19",129.8,8568
"170",1970,"24",24,"20-24",337.78,17025
"171",1970,"24",24,"25-29",361.95,14868
"172",1970,"24",24,"30-34",321.2,11315
"173",1970,"24",24,"35-39",260.26,8022
"174",1970,"24",24,"40-44",93.17,2445
"175",1970,"24",24,"45-49",12.1,262
"176",1970,"25",25,"15-19",109.81,7504
"177",1970,"25",25,"20-24",300.95,15711
"178",1970,"25",25,"25-29",326.5,13516
"179",1970,"25",25,"30-34",266.43,9051
"180",1970,"25",25,"35-39",178.3,5115
"181",1970,"25",25,"40-44",48.8,1184
"182",1970,"25",25,"45-49",7.38,151
"183",1970,"26",26,"15-19",141.86,8606
"184",1970,"26",26,"20-24",292.57,13749
"185",1970,"26",26,"25-29",320.64,12103
"186",1970,"26",26,"30-34",231.6,7248
"187",1970,"26",26,"35-39",153.83,4085
"188",1970,"26",26,"40-44",44.93,1010
"189",1970,"26",26,"45-49",5.82,110
"190",1970,"27",27,"15-19",179.23,7683
"191",1970,"27",27,"20-24",318.55,10400
"192",1970,"27",27,"25-29",306.44,7897
"193",1970,"27",27,"30-34",264.53,5515
"194",1970,"27",27,"35-39",183.98,3142
"195",1970,"27",27,"40-44",81.07,1102
"196",1970,"27",27,"45-49",6.43,68
"197",1970,"28",28,"15-19",126.6,9881
"198",1970,"28",28,"20-24",316.16,19440
"199",1970,"28",28,"25-29",283.27,14368
"200",1970,"28",28,"30-34",230.28,9943
"201",1970,"28",28,"35-39",159.88,5949
"202",1970,"28",28,"40-44",59.15,1854
"203",1970,"28",28,"45-49",6.99,180
"204",1970,"29",29,"15-19",157.36,3313
"205",1970,"29",29,"20-24",281.44,4431
"206",1970,"29",29,"25-29",355.82,4558
"207",1970,"29",29,"30-34",287.68,3212
"208",1970,"29",29,"35-39",228.86,2287
"209",1970,"29",29,"40-44",94.47,829
"210",1970,"29",29,"45-49",19.69,149
"211",1970,"30",30,"15-19",153.27,31144
"212",1970,"30",30,"20-24",293.68,47704
"213",1970,"30",30,"25-29",316.34,42613
"214",1970,"30",30,"30-34",263.58,30028
"215",1970,"30",30,"35-39",201.96,19622
"216",1970,"30",30,"40-44",69.48,5611
"217",1970,"30",30,"45-49",12.95,848
"218",1970,"31",31,"15-19",128.5,5201
"219",1970,"31",31,"20-24",310.02,9966
"220",1970,"31",31,"25-29",365.01,9506
"221",1970,"31",31,"30-34",294.88,6468
"222",1970,"31",31,"35-39",170.93,3300
"223",1970,"31",31,"40-44",49.57,848
"224",1970,"31",31,"45-49",4.92,74
"225",1970,"32",32,"15-19",110.84,5457
"226",1970,"32",32,"20-24",313.85,11311
"227",1970,"32",32,"25-29",395.7,11222
"228",1970,"32",32,"30-34",359.23,8540
"229",1970,"32",32,"35-39",263.32,5426
"230",1970,"32",32,"40-44",98.95,1747
"231",1970,"32",32,"45-49",10.09,150
"232",1971,"01",1,"15-19",101.41,1965
"233",1971,"01",1,"20-24",319.22,4667
"234",1971,"01",1,"25-29",318.77,3656
"235",1971,"01",1,"30-34",288.57,2740
"236",1971,"01",1,"35-39",259,2129
"237",1971,"01",1,"40-44",89.93,649
"238",1971,"01",1,"45-49",7.12,44
"239",1971,"02",2,"15-19",93.21,4764
"240",1971,"02",2,"20-24",265.78,10523
"241",1971,"02",2,"25-29",277.19,8821
"242",1971,"02",2,"30-34",218.42,5790
"243",1971,"02",2,"35-39",160.44,3606
"244",1971,"02",2,"40-44",47.46,902
"245",1971,"02",2,"45-49",5.92,92
"246",1971,"03",3,"15-19",116.97,854
"247",1971,"03",3,"20-24",294.23,1643
"248",1971,"03",3,"25-29",291.03,1305
"249",1971,"03",3,"30-34",232.98,866
"250",1971,"03",3,"35-39",155.83,484
"251",1971,"03",3,"40-44",49.39,129
"252",1971,"03",3,"45-49",3.23,7
"253",1971,"04",4,"15-19",183.25,2704
"254",1971,"04",4,"20-24",344.46,3942
"255",1971,"04",4,"25-29",276.59,2556
"256",1971,"04",4,"30-34",219.36,1704
"257",1971,"04",4,"35-39",165.79,1104
"258",1971,"04",4,"40-44",77.54,438
"259",1971,"04",4,"45-49",11.95,55
"260",1971,"07",7,"15-19",191.95,17283
"261",1971,"07",7,"20-24",282.72,20171
"262",1971,"07",7,"25-29",367.02,21196
"263",1971,"07",7,"30-34",301.55,14081
"264",1971,"07",7,"35-39",242.4,9154
"265",1971,"07",7,"40-44",84.66,2567
"266",1971,"07",7,"45-49",7.54,179
"267",1971,"08",8,"15-19",147.62,13186
"268",1971,"08",8,"20-24",282.75,19503
"269",1971,"08",8,"25-29",294.64,16443
"270",1971,"08",8,"30-34",231.43,10864
"271",1971,"08",8,"35-39",165.08,6627
"272",1971,"08",8,"40-44",56.6,1936
"273",1971,"08",8,"45-49",4.81,137
"274",1971,"09",9,"15-19",101.38,40889
"275",1971,"09",9,"20-24",267.94,90306
"276",1971,"09",9,"25-29",274.15,76276
"277",1971,"09",9,"30-34",225.49,51738
"278",1971,"09",9,"35-39",150.02,29011
"279",1971,"09",9,"40-44",50.62,8399
"280",1971,"09",9,"45-49",11.77,1648
"281",1971,"05",5,"15-19",147.73,9207
"282",1971,"05",5,"20-24",296.41,14288
"283",1971,"05",5,"25-29",298.04,11587
"284",1971,"05",5,"30-34",235.03,7670
"285",1971,"05",5,"35-39",150.27,4214
"286",1971,"05",5,"40-44",40.77,984
"287",1971,"05",5,"45-49",4.8,97
"288",1971,"06",6,"15-19",130.85,1797
"289",1971,"06",6,"20-24",275.98,2863
"290",1971,"06",6,"25-29",350.9,2856
"291",1971,"06",6,"30-34",244.51,1637
"292",1971,"06",6,"35-39",186.67,1070
"293",1971,"06",6,"40-44",69.11,347
"294",1971,"06",6,"45-49",10.59,46
"295",1971,"10",10,"15-19",145.48,7367
"296",1971,"10",10,"20-24",350.6,13256
"297",1971,"10",10,"25-29",327.71,9843
"298",1971,"10",10,"30-34",261.76,6618
"299",1971,"10",10,"35-39",201.37,4394
"300",1971,"10",10,"40-44",82.13,1531
"301",1971,"10",10,"45-49",9.35,144
"302",1971,"11",11,"15-19",129.72,16282
"303",1971,"11",11,"20-24",302.51,28485
"304",1971,"11",11,"25-29",348.35,25870
"305",1971,"11",11,"30-34",286.17,17685
"306",1971,"11",11,"35-39",234.72,12481
"307",1971,"11",11,"40-44",93,4274
"308",1971,"11",11,"45-49",12.57,486
"309",1971,"12",12,"15-19",179.32,15766
"310",1971,"12",12,"20-24",353.78,23870
"311",1971,"12",12,"25-29",380.17,21059
"312",1971,"12",12,"30-34",306.14,14495
"313",1971,"12",12,"35-39",227.96,9250
"314",1971,"12",12,"40-44",76.61,2592
"315",1971,"12",12,"45-49",12.69,343
"316",1971,"13",13,"15-19",134.92,8611
"317",1971,"13",13,"20-24",360.85,17619
"318",1971,"13",13,"25-29",370.7,14804
"319",1971,"13",13,"30-34",288.97,9804
"320",1971,"13",13,"35-39",202.27,5904
"321",1971,"13",13,"40-44",56.95,1429
"322",1971,"13",13,"45-49",8.62,182
"323",1971,"14",14,"15-19",108.32,20064
"324",1971,"14",14,"20-24",298.19,42553
"325",1971,"14",14,"25-29",360.25,40668
"326",1971,"14",14,"30-34",326.72,30181
"327",1971,"14",14,"35-39",227.94,17903
"328",1971,"14",14,"40-44",82.67,5692
"329",1971,"14",14,"45-49",9,541
"330",1971,"15",15,"15-19",123.06,27532
"331",1971,"15",15,"20-24",307.33,53378
"332",1971,"15",15,"25-29",324.79,46642
"333",1971,"15",15,"30-34",262.25,31889
"334",1971,"15",15,"35-39",171.97,17519
"335",1971,"15",15,"40-44",50.05,4168
"336",1971,"15",15,"45-49",4.15,273
"337",1971,"16",16,"15-19",145.35,18583
"338",1971,"16",16,"20-24",291.98,27819
"339",1971,"16",16,"25-29",384.94,28836
"340",1971,"16",16,"30-34",317.3,19916
"341",1971,"16",16,"35-39",255.17,13944
"342",1971,"16",16,"40-44",93.53,4444
"343",1971,"16",16,"45-49",6.63,265
"344",1971,"17",17,"15-19",124.41,4326
"345",1971,"17",17,"20-24",307.51,8221
"346",1971,"17",17,"25-29",285.65,6254
"347",1971,"17",17,"30-34",241.48,4569
"348",1971,"17",17,"35-39",184.15,3050
"349",1971,"17",17,"40-44",79.48,1116
"350",1971,"17",17,"45-49",14.22,160
"351",1971,"18",18,"15-19",167.34,4978
"352",1971,"18",18,"20-24",318.32,7009
"353",1971,"18",18,"25-29",305.61,5283
"354",1971,"18",18,"30-34",264.73,3833
"355",1971,"18",18,"35-39",211.8,2670
"356",1971,"18",18,"40-44",63.8,707
"357",1971,"18",18,"45-49",17.04,163
"358",1971,"19",19,"15-19",107.53,10227
"359",1971,"19",19,"20-24",267.93,20410
"360",1971,"19",19,"25-29",283.9,17857
"361",1971,"19",19,"30-34",234.27,12315
"362",1971,"19",19,"35-39",154.26,6810
"363",1971,"19",19,"40-44",43.45,1621
"364",1971,"19",19,"45-49",8.62,269
"365",1971,"20",20,"15-19",186.03,19691
"366",1971,"20",20,"20-24",368.06,30320
"367",1971,"20",20,"25-29",352.18,24310
"368",1971,"20",20,"30-34",296.69,17806
"369",1971,"20",20,"35-39",238.47,12430
"370",1971,"20",20,"40-44",94.56,4209
"371",1971,"20",20,"45-49",9.85,366
"372",1971,"21",21,"15-19",157.88,21338
"373",1971,"21",21,"20-24",356.46,37278
"374",1971,"21",21,"25-29",362.99,31183
"375",1971,"21",21,"30-34",300.43,22224
"376",1971,"21",21,"35-39",235.01,15233
"377",1971,"21",21,"40-44",92.3,5189
"378",1971,"21",21,"45-49",15.14,715
"379",1971,"22",22,"15-19",124.16,3327
"380",1971,"22",22,"20-24",322.33,6521
"381",1971,"22",22,"25-29",354.82,5729
"382",1971,"22",22,"30-34",303.64,4091
"383",1971,"22",22,"35-39",253.58,2919
"384",1971,"22",22,"40-44",101.5,1002
"385",1971,"22",22,"45-49",8.18,68
"386",1971,"23",23,"15-19",202.49,1107
"387",1971,"23",23,"20-24",275.25,1180
"388",1971,"23",23,"25-29",273.54,947
"389",1971,"23",23,"30-34",219.63,613
"390",1971,"23",23,"35-39",167.63,376
"391",1971,"23",23,"40-44",54.22,97
"392",1971,"23",23,"45-49",8.58,12
"393",1971,"33",0,"15-19",133.93,362353
"394",1971,"33",0,"20-24",302.62,638558
"395",1971,"33",0,"25-29",324.34,555608
"396",1971,"33",0,"30-34",268.18,384899
"397",1971,"33",0,"35-39",195.37,239019
"398",1971,"33",0,"40-44",68.8,71686
"399",1971,"33",0,"45-49",9.65,8357
"400",1971,"24",24,"15-19",130.42,8941
"401",1971,"24",24,"20-24",336.23,17429
"402",1971,"24",24,"25-29",357.93,15002
"403",1971,"24",24,"30-34",317.25,11373
"404",1971,"24",24,"35-39",255.87,8005
"405",1971,"24",24,"40-44",94.8,2551
"406",1971,"24",24,"45-49",12.22,272
"407",1971,"25",25,"15-19",108.96,7814
"408",1971,"25",25,"20-24",295.79,16078
"409",1971,"25",25,"25-29",318.91,13678
"410",1971,"25",25,"30-34",259.96,9143
"411",1971,"25",25,"35-39",172.88,5116
"412",1971,"25",25,"40-44",48.57,1222
"413",1971,"25",25,"45-49",7.34,155
"414",1971,"26",26,"15-19",139.83,8825
"415",1971,"26",26,"20-24",286.7,13939
"416",1971,"26",26,"25-29",312.27,12145
"417",1971,"26",26,"30-34",225.33,7256
"418",1971,"26",26,"35-39",148.56,4044
"419",1971,"26",26,"40-44",44.52,1033
"420",1971,"26",26,"45-49",5.75,112
"421",1971,"27",27,"15-19",177.92,7950
"422",1971,"27",27,"20-24",314.77,10643
"423",1971,"27",27,"25-29",300.89,7991
"424",1971,"27",27,"30-34",259.47,5564
"425",1971,"27",27,"35-39",179.27,3139
"426",1971,"27",27,"40-44",81.85,1152
"427",1971,"27",27,"45-49",6.48,71
"428",1971,"28",28,"15-19",124.86,10133
"429",1971,"28",28,"20-24",309.49,19635
"430",1971,"28",28,"25-29",275.7,14335
"431",1971,"28",28,"30-34",223.91,9889
"432",1971,"28",28,"35-39",154.36,5860
"433",1971,"28",28,"40-44",59,1905
"434",1971,"28",28,"45-49",6.96,185
