"","year","state","CVE_GEO","age","population","births_grouped","births","ferty_rate","birth_rate"
"128",2020,"Campeche",4,37,14589,1381,276.2,7.212,0.0189320721091233
"129",2020,"Campeche",4,38,14200,1381,276.2,7.212,0.0194507042253521
"130",2020,"Campeche",4,39,13857,1381,276.2,7.212,0.019932164249116
"131",2020,"Campeche",4,40,13556,286,57.2,1.67,0.00421953378577752
"132",2020,"Campeche",4,41,13281,286,57.2,1.67,0.00430690460055719
"133",2020,"Campeche",4,42,13035,286,57.2,1.67,0.00438818565400844
"134",2020,"Campeche",4,43,12825,286,57.2,1.67,0.00446003898635478
"135",2020,"Campeche",4,44,12643,286,57.2,1.67,0.0045242426639247
"136",2020,"Campeche",4,45,12401,12,2.4,0.078,0.000193532779614547
"137",2020,"Campeche",4,46,12120,12,2.4,0.078,0.000198019801980198
"138",2020,"Campeche",4,47,11806,12,2.4,0.078,0.000203286464509571
"139",2020,"Campeche",4,48,11456,12,2.4,0.078,0.000209497206703911
"140",2020,"Campeche",4,49,11089,12,2.4,0.078,0.000216430697087204
"141",2020,"Chiapas",7,15,113283,23128,4625.6,16.97,0.0408322519707282
"142",2020,"Chiapas",7,16,111116,23128,4625.6,16.97,0.0416285683429929
"143",2020,"Chiapas",7,17,108884,23128,4625.6,16.97,0.0424819073509423
"144",2020,"Chiapas",7,18,106781,23128,4625.6,16.97,0.0433185679100214
"145",2020,"Chiapas",7,19,104890,23128,4625.6,16.97,0.0440995328439317
"146",2020,"Chiapas",7,20,103285,38008,7601.6,29.812,0.0735982959771506
"147",2020,"Chiapas",7,21,101805,38008,7601.6,29.812,0.0746682382987083
"148",2020,"Chiapas",7,22,100468,38008,7601.6,29.812,0.0756619022972489
"149",2020,"Chiapas",7,23,99301,38008,7601.6,29.812,0.0765510921340168
"150",2020,"Chiapas",7,24,98250,38008,7601.6,29.812,0.0773699745547074
"151",2020,"Chiapas",7,25,97280,32492,6498.4,26.638,0.0668009868421053
"152",2020,"Chiapas",7,26,96141,32492,6498.4,26.638,0.0675923903433499
"153",2020,"Chiapas",7,27,94794,32492,6498.4,26.638,0.0685528619954849
"154",2020,"Chiapas",7,28,93189,32492,6498.4,26.638,0.0697335522432905
"155",2020,"Chiapas",7,29,91030,32492,6498.4,26.638,0.0713874546852686
"156",2020,"Chiapas",7,30,88721,21484,4296.8,19.164,0.0484304730559845
"157",2020,"Chiapas",7,31,86625,21484,4296.8,19.164,0.0496023088023088
"158",2020,"Chiapas",7,32,84454,21484,4296.8,19.164,0.0508774007151822
"159",2020,"Chiapas",7,33,82263,21484,4296.8,19.164,0.0522324738947036
"160",2020,"Chiapas",7,34,80057,21484,4296.8,19.164,0.0536717588718038
"161",2020,"Chiapas",7,35,77839,10852,2170.4,10.858,0.0278831947995221
"162",2020,"Chiapas",7,36,75640,10852,2170.4,10.858,0.0286938127974617
"163",2020,"Chiapas",7,37,73518,10852,2170.4,10.858,0.0295220218177861
"164",2020,"Chiapas",7,38,71488,10852,2170.4,10.858,0.0303603401969561
"165",2020,"Chiapas",7,39,69587,10852,2170.4,10.858,0.0311897337146306
"166",2020,"Chiapas",7,40,67871,3273,654.6,3.694,0.009644767279103
"167",2020,"Chiapas",7,41,66354,3273,654.6,3.694,0.00986526810742382
"168",2020,"Chiapas",7,42,65010,3273,654.6,3.694,0.0100692201199815
"169",2020,"Chiapas",7,43,63837,3273,654.6,3.694,0.0102542412707364
"170",2020,"Chiapas",7,44,62776,3273,654.6,3.694,0.0104275519306741
"171",2020,"Chiapas",7,45,61424,363,72.6,0.466,0.00118194842406877
"172",2020,"Chiapas",7,46,59929,363,72.6,0.466,0.00121143352967678
"173",2020,"Chiapas",7,47,58257,363,72.6,0.466,0.00124620217312941
"174",2020,"Chiapas",7,48,56419,363,72.6,0.466,0.00128680054591538
"175",2020,"Chiapas",7,49,54482,363,72.6,0.466,0.00133255020006608
"176",2020,"Chihuahua",8,15,68040,12177,2435.4,14.732,0.0357936507936508
"177",2020,"Chihuahua",8,16,67752,12177,2435.4,14.732,0.0359458023379384
"178",2020,"Chihuahua",8,17,67337,12177,2435.4,14.732,0.0361673374222196
"179",2020,"Chihuahua",8,18,66930,12177,2435.4,14.732,0.0363872702823846
"180",2020,"Chihuahua",8,19,66411,12177,2435.4,14.732,0.0366716357229977
"181",2020,"Chihuahua",8,20,65852,19565,3913,24.446,0.0594211261616959
"182",2020,"Chihuahua",8,21,65353,19565,3913,24.446,0.0598748335960094
"183",2020,"Chihuahua",8,22,64932,19565,3913,24.446,0.0602630444156964
"184",2020,"Chihuahua",8,23,64624,19565,3913,24.446,0.060550259965338
"185",2020,"Chihuahua",8,24,64397,19565,3913,24.446,0.0607637001723683
"186",2020,"Chihuahua",8,25,64077,15892,3178.4,20.496,0.0496028216052562
"187",2020,"Chihuahua",8,26,63488,15892,3178.4,20.496,0.0500630040322581
"188",2020,"Chihuahua",8,27,62753,15892,3178.4,20.496,0.0506493713447963
"189",2020,"Chihuahua",8,28,61829,15892,3178.4,20.496,0.0514062980154944
"190",2020,"Chihuahua",8,29,60679,15892,3178.4,20.496,0.0523805599960448
"191",2020,"Chihuahua",8,30,59513,9974,1994.8,13.73,0.0335187270008233
"192",2020,"Chihuahua",8,31,58443,9974,1994.8,13.73,0.0341324025118492
"193",2020,"Chihuahua",8,32,57322,9974,1994.8,13.73,0.0347999023062698
"194",2020,"Chihuahua",8,33,56189,9974,1994.8,13.73,0.0355016106355336
"195",2020,"Chihuahua",8,34,55106,9974,1994.8,13.73,0.0361993249373934
"196",2020,"Chihuahua",8,35,54056,4123,824.6,6.098,0.0152545508361699
"197",2020,"Chihuahua",8,36,53032,4123,824.6,6.098,0.0155491024287223
"198",2020,"Chihuahua",8,37,52084,4123,824.6,6.098,0.0158321173488979
"199",2020,"Chihuahua",8,38,51229,4123,824.6,6.098,0.0160963516758086
"200",2020,"Chihuahua",8,39,50511,4123,824.6,6.098,0.0163251568965176
"201",2020,"Chihuahua",8,40,49960,1111,222.2,1.73,0.00444755804643715
"202",2020,"Chihuahua",8,41,49566,1111,222.2,1.73,0.00448291167332446
"203",2020,"Chihuahua",8,42,49310,1111,222.2,1.73,0.00450618535793957
"204",2020,"Chihuahua",8,43,49178,1111,222.2,1.73,0.00451828053194518
"205",2020,"Chihuahua",8,44,49123,1111,222.2,1.73,0.00452333937259532
"206",2020,"Chihuahua",8,45,48800,111,22.2,0.182,0.000454918032786885
"207",2020,"Chihuahua",8,46,48315,111,22.2,0.182,0.000459484632101832
"208",2020,"Chihuahua",8,47,47607,111,22.2,0.182,0.000466317978448547
"209",2020,"Chihuahua",8,48,46691,111,22.2,0.182,0.00047546636396736
"210",2020,"Chihuahua",8,49,45599,111,22.2,0.182,0.000486852781859251
"211",2020,"Coahuila",5,15,55847,12744,2548.8,18.862,0.0456389779218221
"212",2020,"Coahuila",5,16,55647,12744,2548.8,18.862,0.0458030082484231
"213",2020,"Coahuila",5,17,55397,12744,2548.8,18.862,0.046009711717241
"214",2020,"Coahuila",5,18,55173,12744,2548.8,18.862,0.0461965091620902
"215",2020,"Coahuila",5,19,54879,12744,2548.8,18.862,0.0464439949707538
"216",2020,"Coahuila",5,20,54541,18587,3717.4,28.23,0.0681578995617975
"217",2020,"Coahuila",5,21,54216,18587,3717.4,28.23,0.0685664748413752
"218",2020,"Coahuila",5,22,53911,18587,3717.4,28.23,0.068954387787279
"219",2020,"Coahuila",5,23,53647,18587,3717.4,28.23,0.0692937163308293
"220",2020,"Coahuila",5,24,53419,18587,3717.4,28.23,0.0695894719107434
"221",2020,"Coahuila",5,25,53116,14905,2981,23.42,0.0561224489795918
"222",2020,"Coahuila",5,26,52579,14905,2981,23.42,0.0566956389433044
"223",2020,"Coahuila",5,27,51917,14905,2981,23.42,0.0574185719513839
"224",2020,"Coahuila",5,28,51089,14905,2981,23.42,0.0583491553954863
"225",2020,"Coahuila",5,29,50063,14905,2981,23.42,0.0595449733335997
"226",2020,"Coahuila",5,30,49041,9870,1974,16.604,0.040252034012357
"227",2020,"Coahuila",5,31,48148,9870,1974,16.604,0.0409985876879621
"228",2020,"Coahuila",5,32,47254,9870,1974,16.604,0.041774241334067
"229",2020,"Coahuila",5,33,46401,9870,1974,16.604,0.0425421865908062
"230",2020,"Coahuila",5,34,45611,9870,1974,16.604,0.0432790335664642
"231",2020,"Coahuila",5,35,44853,4027,805.4,7.18,0.0179564354669699
"232",2020,"Coahuila",5,36,44130,4027,805.4,7.18,0.0182506231588489
"233",2020,"Coahuila",5,37,43490,4027,805.4,7.18,0.0185191998160497
"234",2020,"Coahuila",5,38,42926,4027,805.4,7.18,0.0187625215487117
"235",2020,"Coahuila",5,39,42471,4027,805.4,7.18,0.0189635280544371
"236",2020,"Coahuila",5,40,42138,975,195,1.792,0.00462765200056956
"237",2020,"Coahuila",5,41,41900,975,195,1.792,0.00465393794749403
"238",2020,"Coahuila",5,42,41740,975,195,1.792,0.00467177767129851
"239",2020,"Coahuila",5,43,41647,975,195,1.792,0.00468221000312147
"240",2020,"Coahuila",5,44,41585,975,195,1.792,0.00468919081399543
"241",2020,"Coahuila",5,45,41269,89,17.8,0.172,0.000431316484528338
"242",2020,"Coahuila",5,46,40789,89,17.8,0.172,0.000436392164554169
