"","year","state","CVE_GEO","age","births_grouped","births","ferty_rate"
"112",2020,"Campeche",4,21,5116,1023.2,23.83
"113",2020,"Campeche",4,22,5116,1023.2,23.83
"114",2020,"Campeche",4,23,5116,1023.2,23.83
"115",2020,"Campeche",4,24,5116,1023.2,23.83
"116",2020,"Campeche",4,25,4838,967.6,22.006
"117",2020,"Campeche",4,26,4838,967.6,22.006
"118",2020,"Campeche",4,27,4838,967.6,22.006
"119",2020,"Campeche",4,28,4838,967.6,22.006
"120",2020,"Campeche",4,29,4838,967.6,22.006
"121",2020,"Campeche",4,30,2914,582.8,13.844
"122",2020,"Campeche",4,31,2914,582.8,13.844
"123",2020,"Campeche",4,32,2914,582.8,13.844
"124",2020,"Campeche",4,33,2914,582.8,13.844
"125",2020,"Campeche",4,34,2914,582.8,13.844
"126",2020,"Campeche",4,35,1381,276.2,7.212
"127",2020,"Campeche",4,36,1381,276.2,7.212
"128",2020,"Campeche",4,37,1381,276.2,7.212
"129",2020,"Campeche",4,38,1381,276.2,7.212
"130",2020,"Campeche",4,39,1381,276.2,7.212
"131",2020,"Campeche",4,40,286,57.2,1.67
"132",2020,"Campeche",4,41,286,57.2,1.67
"133",2020,"Campeche",4,42,286,57.2,1.67
"134",2020,"Campeche",4,43,286,57.2,1.67
"135",2020,"Campeche",4,44,286,57.2,1.67
"136",2020,"Campeche",4,45,12,2.4,0.078
"137",2020,"Campeche",4,46,12,2.4,0.078
"138",2020,"Campeche",4,47,12,2.4,0.078
"139",2020,"Campeche",4,48,12,2.4,0.078
"140",2020,"Campeche",4,49,12,2.4,0.078
"141",2020,"Chiapas",7,15,23128,4625.6,16.97
"142",2020,"Chiapas",7,16,23128,4625.6,16.97
"143",2020,"Chiapas",7,17,23128,4625.6,16.97
"144",2020,"Chiapas",7,18,23128,4625.6,16.97
"145",2020,"Chiapas",7,19,23128,4625.6,16.97
"146",2020,"Chiapas",7,20,38008,7601.6,29.812
"147",2020,"Chiapas",7,21,38008,7601.6,29.812
"148",2020,"Chiapas",7,22,38008,7601.6,29.812
"149",2020,"Chiapas",7,23,38008,7601.6,29.812
"150",2020,"Chiapas",7,24,38008,7601.6,29.812
"151",2020,"Chiapas",7,25,32492,6498.4,26.638
"152",2020,"Chiapas",7,26,32492,6498.4,26.638
"153",2020,"Chiapas",7,27,32492,6498.4,26.638
"154",2020,"Chiapas",7,28,32492,6498.4,26.638
"155",2020,"Chiapas",7,29,32492,6498.4,26.638
"156",2020,"Chiapas",7,30,21484,4296.8,19.164
"157",2020,"Chiapas",7,31,21484,4296.8,19.164
"158",2020,"Chiapas",7,32,21484,4296.8,19.164
"159",2020,"Chiapas",7,33,21484,4296.8,19.164
"160",2020,"Chiapas",7,34,21484,4296.8,19.164
"161",2020,"Chiapas",7,35,10852,2170.4,10.858
"162",2020,"Chiapas",7,36,10852,2170.4,10.858
"163",2020,"Chiapas",7,37,10852,2170.4,10.858
"164",2020,"Chiapas",7,38,10852,2170.4,10.858
"165",2020,"Chiapas",7,39,10852,2170.4,10.858
"166",2020,"Chiapas",7,40,3273,654.6,3.694
"167",2020,"Chiapas",7,41,3273,654.6,3.694
"168",2020,"Chiapas",7,42,3273,654.6,3.694
"169",2020,"Chiapas",7,43,3273,654.6,3.694
"170",2020,"Chiapas",7,44,3273,654.6,3.694
"171",2020,"Chiapas",7,45,363,72.6,0.466
"172",2020,"Chiapas",7,46,363,72.6,0.466
"173",2020,"Chiapas",7,47,363,72.6,0.466
"174",2020,"Chiapas",7,48,363,72.6,0.466
"175",2020,"Chiapas",7,49,363,72.6,0.466
"176",2020,"Chihuahua",8,15,12177,2435.4,14.732
"177",2020,"Chihuahua",8,16,12177,2435.4,14.732
"178",2020,"Chihuahua",8,17,12177,2435.4,14.732
"179",2020,"Chihuahua",8,18,12177,2435.4,14.732
"180",2020,"Chihuahua",8,19,12177,2435.4,14.732
"181",2020,"Chihuahua",8,20,19565,3913,24.446
"182",2020,"Chihuahua",8,21,19565,3913,24.446
"183",2020,"Chihuahua",8,22,19565,3913,24.446
"184",2020,"Chihuahua",8,23,19565,3913,24.446
"185",2020,"Chihuahua",8,24,19565,3913,24.446
"186",2020,"Chihuahua",8,25,15892,3178.4,20.496
"187",2020,"Chihuahua",8,26,15892,3178.4,20.496
"188",2020,"Chihuahua",8,27,15892,3178.4,20.496
"189",2020,"Chihuahua",8,28,15892,3178.4,20.496
"190",2020,"Chihuahua",8,29,15892,3178.4,20.496
"191",2020,"Chihuahua",8,30,9974,1994.8,13.73
"192",2020,"Chihuahua",8,31,9974,1994.8,13.73
"193",2020,"Chihuahua",8,32,9974,1994.8,13.73
"194",2020,"Chihuahua",8,33,9974,1994.8,13.73
"195",2020,"Chihuahua",8,34,9974,1994.8,13.73
"196",2020,"Chihuahua",8,35,4123,824.6,6.098
"197",2020,"Chihuahua",8,36,4123,824.6,6.098
"198",2020,"Chihuahua",8,37,4123,824.6,6.098
"199",2020,"Chihuahua",8,38,4123,824.6,6.098
"200",2020,"Chihuahua",8,39,4123,824.6,6.098
"201",2020,"Chihuahua",8,40,1111,222.2,1.73
"202",2020,"Chihuahua",8,41,1111,222.2,1.73
"203",2020,"Chihuahua",8,42,1111,222.2,1.73
"204",2020,"Chihuahua",8,43,1111,222.2,1.73
"205",2020,"Chihuahua",8,44,1111,222.2,1.73
"206",2020,"Chihuahua",8,45,111,22.2,0.182
"207",2020,"Chihuahua",8,46,111,22.2,0.182
"208",2020,"Chihuahua",8,47,111,22.2,0.182
"209",2020,"Chihuahua",8,48,111,22.2,0.182
"210",2020,"Chihuahua",8,49,111,22.2,0.182
"211",2020,"Coahuila",5,15,12744,2548.8,18.862
"212",2020,"Coahuila",5,16,12744,2548.8,18.862
"213",2020,"Coahuila",5,17,12744,2548.8,18.862
"214",2020,"Coahuila",5,18,12744,2548.8,18.862
"215",2020,"Coahuila",5,19,12744,2548.8,18.862
"216",2020,"Coahuila",5,20,18587,3717.4,28.23
"217",2020,"Coahuila",5,21,18587,3717.4,28.23
"218",2020,"Coahuila",5,22,18587,3717.4,28.23
