"","year","state","CVE_GEO","age","sex","population","ferty_rate"
"111",2020,"Campeche",4,20,"Female",8462,23.83
"112",2020,"Campeche",4,21,"Female",8506,23.83
"113",2020,"Campeche",4,22,"Female",8570,23.83
"114",2020,"Campeche",4,23,"Female",8655,23.83
"115",2020,"Campeche",4,24,"Female",8737,23.83
"116",2020,"Campeche",4,25,"Female",8786,22.006
"117",2020,"Campeche",4,26,"Female",8795,22.006
"118",2020,"Campeche",4,27,"Female",8785,22.006
"119",2020,"Campeche",4,28,"Female",8752,22.006
"120",2020,"Campeche",4,29,"Female",8680,22.006
"121",2020,"Campeche",4,30,"Female",8585,13.844
"122",2020,"Campeche",4,31,"Female",8481,13.844
"123",2020,"Campeche",4,32,"Female",8357,13.844
"124",2020,"Campeche",4,33,"Female",8212,13.844
"125",2020,"Campeche",4,34,"Female",8069,13.844
"126",2020,"Campeche",4,35,"Female",7914,7.212
"127",2020,"Campeche",4,36,"Female",7746,7.212
"128",2020,"Campeche",4,37,"Female",7568,7.212
"129",2020,"Campeche",4,38,"Female",7385,7.212
"130",2020,"Campeche",4,39,"Female",7219,7.212
"131",2020,"Campeche",4,40,"Female",7064,1.67
"132",2020,"Campeche",4,41,"Female",6910,1.67
"133",2020,"Campeche",4,42,"Female",6769,1.67
"134",2020,"Campeche",4,43,"Female",6638,1.67
"135",2020,"Campeche",4,44,"Female",6519,1.67
"136",2020,"Campeche",4,45,"Female",6370,0.078
"137",2020,"Campeche",4,46,"Female",6202,0.078
"138",2020,"Campeche",4,47,"Female",6026,0.078
"139",2020,"Campeche",4,48,"Female",5838,0.078
"140",2020,"Campeche",4,49,"Female",5647,0.078
"141",2020,"Chiapas",7,15,"Female",56086,16.97
"142",2020,"Chiapas",7,16,"Female",55139,16.97
"143",2020,"Chiapas",7,17,"Female",54207,16.97
"144",2020,"Chiapas",7,18,"Female",53367,16.97
"145",2020,"Chiapas",7,19,"Female",52609,16.97
"146",2020,"Chiapas",7,20,"Female",51945,29.812
"147",2020,"Chiapas",7,21,"Female",51328,29.812
"148",2020,"Chiapas",7,22,"Female",50816,29.812
"149",2020,"Chiapas",7,23,"Female",50426,29.812
"150",2020,"Chiapas",7,24,"Female",50088,29.812
"151",2020,"Chiapas",7,25,"Female",49735,26.638
"152",2020,"Chiapas",7,26,"Female",49272,26.638
"153",2020,"Chiapas",7,27,"Female",48726,26.638
"154",2020,"Chiapas",7,28,"Female",48093,26.638
"155",2020,"Chiapas",7,29,"Female",47227,26.638
"156",2020,"Chiapas",7,30,"Female",46286,19.164
"157",2020,"Chiapas",7,31,"Female",45417,19.164
"158",2020,"Chiapas",7,32,"Female",44492,19.164
"159",2020,"Chiapas",7,33,"Female",43523,19.164
"160",2020,"Chiapas",7,34,"Female",42528,19.164
"161",2020,"Chiapas",7,35,"Female",41525,10.858
"162",2020,"Chiapas",7,36,"Female",40520,10.858
"163",2020,"Chiapas",7,37,"Female",39528,10.858
"164",2020,"Chiapas",7,38,"Female",38550,10.858
"165",2020,"Chiapas",7,39,"Female",37591,10.858
"166",2020,"Chiapas",7,40,"Female",36682,3.694
"167",2020,"Chiapas",7,41,"Female",35837,3.694
"168",2020,"Chiapas",7,42,"Female",35044,3.694
"169",2020,"Chiapas",7,43,"Female",34310,3.694
"170",2020,"Chiapas",7,44,"Female",33607,3.694
"171",2020,"Chiapas",7,45,"Female",32743,0.466
"172",2020,"Chiapas",7,46,"Female",31811,0.466
"173",2020,"Chiapas",7,47,"Female",30809,0.466
"174",2020,"Chiapas",7,48,"Female",29739,0.466
"175",2020,"Chiapas",7,49,"Female",28643,0.466
"176",2020,"Chihuahua",8,15,"Female",33372,14.732
"177",2020,"Chihuahua",8,16,"Female",33214,14.732
"178",2020,"Chihuahua",8,17,"Female",33025,14.732
"179",2020,"Chihuahua",8,18,"Female",32852,14.732
"180",2020,"Chihuahua",8,19,"Female",32632,14.732
"181",2020,"Chihuahua",8,20,"Female",32366,24.446
"182",2020,"Chihuahua",8,21,"Female",32104,24.446
"183",2020,"Chihuahua",8,22,"Female",31897,24.446
"184",2020,"Chihuahua",8,23,"Female",31767,24.446
"185",2020,"Chihuahua",8,24,"Female",31683,24.446
"186",2020,"Chihuahua",8,25,"Female",31549,20.496
"187",2020,"Chihuahua",8,26,"Female",31288,20.496
"188",2020,"Chihuahua",8,27,"Female",30976,20.496
"189",2020,"Chihuahua",8,28,"Female",30610,20.496
"190",2020,"Chihuahua",8,29,"Female",30161,20.496
"191",2020,"Chihuahua",8,30,"Female",29715,13.73
"192",2020,"Chihuahua",8,31,"Female",29324,13.73
"193",2020,"Chihuahua",8,32,"Female",28909,13.73
"194",2020,"Chihuahua",8,33,"Female",28474,13.73
"195",2020,"Chihuahua",8,34,"Female",28049,13.73
"196",2020,"Chihuahua",8,35,"Female",27638,6.098
"197",2020,"Chihuahua",8,36,"Female",27242,6.098
"198",2020,"Chihuahua",8,37,"Female",26876,6.098
"199",2020,"Chihuahua",8,38,"Female",26535,6.098
"200",2020,"Chihuahua",8,39,"Female",26231,6.098
"201",2020,"Chihuahua",8,40,"Female",25978,1.73
"202",2020,"Chihuahua",8,41,"Female",25779,1.73
"203",2020,"Chihuahua",8,42,"Female",25621,1.73
"204",2020,"Chihuahua",8,43,"Female",25502,1.73
"205",2020,"Chihuahua",8,44,"Female",25404,1.73
"206",2020,"Chihuahua",8,45,"Female",25157,0.182
"207",2020,"Chihuahua",8,46,"Female",24830,0.182
"208",2020,"Chihuahua",8,47,"Female",24407,0.182
"209",2020,"Chihuahua",8,48,"Female",23890,0.182
"210",2020,"Chihuahua",8,49,"Female",23308,0.182
"211",2020,"Coahuila",5,15,"Female",27214,18.862
"212",2020,"Coahuila",5,16,"Female",27109,18.862
"213",2020,"Coahuila",5,17,"Female",26995,18.862
"214",2020,"Coahuila",5,18,"Female",26897,18.862
"215",2020,"Coahuila",5,19,"Female",26764,18.862
"216",2020,"Coahuila",5,20,"Female",26590,28.23
"217",2020,"Coahuila",5,21,"Female",26408,28.23
"218",2020,"Coahuila",5,22,"Female",26252,28.23
"219",2020,"Coahuila",5,23,"Female",26138,28.23
"220",2020,"Coahuila",5,24,"Female",26044,28.23
"221",2020,"Coahuila",5,25,"Female",25909,23.42
"222",2020,"Coahuila",5,26,"Female",25666,23.42
